comapany,skills,more_info
Sigmoid,"programming, languages, big, data, technologies, api, design, data, management, agile, methodology, c, scala, data, mining, data, extraction, java, hadoop, python",https://www.timesjobs.com/job-detail/sde-1-2-sigmoid-bengaluru-bangalore-3-to-5-yrs-jobid-AzXk3rgD3IJzpSvf__PLUS__uAgZw==&source=srp
Paytm,"continuous, integration, cloud, experience, automation, tools, shell, scripting, infrastructure, management, docker, git, python, scripting, devops, linux, os, maven, gradle",https://www.timesjobs.com/job-detail/paytm-devops-engineer-senior-devops-paytm-money-paytm-bengaluru-bangalore-noida-greater-noida-3-to-7-yrs-jobid-JRO0vYZCiLNzpSvf__PLUS__uAgZw==&source=srp
ORACLE,"continuous, integration, cloud, deployment, kubernetes, management, devops, culture, python, scripting, c, java, shell, scripting, oracle, docker, security, gradle, infrastructure",https://www.timesjobs.com/job-detail/cloud-native-developer-oracle-bengaluru-bangalore-hyderabad-secunderabad-6-to-10-yrs-jobid-aShrYgGBFDFzpSvf__PLUS__uAgZw==&source=srp
Cashfree,"vulnerability, assessment, threat, modeling, secure, coding, sast, integration, security, training, sql, java, devops, software, engineering, api, python, ruby, node.js",https://www.timesjobs.com/job-detail/security-engineer-2-cashfree-bengaluru-bangalore-3-to-6-yrs-jobid-q06nhrUqINRzpSvf__PLUS__uAgZw==&source=srp
Cashfree,"application, security, vulnerability, assessment, cloud, security, secure, coding, penetration, testing, sql, java, devops, api, python, ruby, node.js",https://www.timesjobs.com/job-detail/ciso-security-manager-senior-security-manager-cashfree-bengaluru-bangalore-1-to-4-yrs-jobid-Gz1LAESI0zRzpSvf__PLUS__uAgZw==&source=srp
Reliance Jio Infocomm Limited,"it, infrastructure, management, scripting, languages, (, python, bash, ), networking, protocols, knowledge, cloud, platforms, (, aws, azure, ), version, control, systems, (, git, ), ece",https://www.timesjobs.com/job-detail/engineer-tech-operations-81939230-reliance-jio-infocomm-limited-gurgaon-3-to-8-yrs-jobid-0X__PLUS__AzPFBYjpzpSvf__PLUS__uAgZw==&source=srp
Reliance Jio Infocomm Limited,"it, infrastructure, management, scripting, languages, expertise, networking, protocols, understanding, cloud, platform, familiarity, version, control, systems, knowledge, python, git, ece",https://www.timesjobs.com/job-detail/engineer-tech-operations-81745193-reliance-jio-infocomm-limited-gurgaon-3-to-8-yrs-jobid-l1MifgSJxbJzpSvf__PLUS__uAgZw==&source=srp
freshworks technologies ltd,"application, security, secure, coding, threat, modelling, security, assessments, security, automation, sql, java, devops, press, crm, san, python, ruby",https://www.timesjobs.com/job-detail/senior-security-engineer-freshworks-technologies-ltd-san-francisco-chennai-4-to-7-yrs-jobid-LOabJTKqmndzpSvf__PLUS__uAgZw==&source=srp
accenture,"linux, operations, shell, scripting, IT, security, networking, concepts, application, development, devops, perl, technical, skills, python, infrastructure, unix, /, linux",https://www.timesjobs.com/job-detail/application-developer-accenture-pune-5-to-8-yrs-jobid-AvxtqIoc5oFzpSvf__PLUS__uAgZw==&source=srp
Corning,"fluid, dynamics, mastery, numerical, modeling, techniques, software, proficiency, (, fluent, ansys, ), analytical, problem, solving, excellent, communication, skills, c, python, unix",https://www.timesjobs.com/job-detail/research-scientist-fluid-and-thermal-job-details-corning-corning-pune-1-to-3-yrs-jobid-WSW__PLUS__8GPT6WVzpSvf__PLUS__uAgZw==&source=srp
accenture,"python, programming, machine, learning, algorithms, data, visualization, tools, data, cleaning, techniques, statistical, analysis, bi, linear, regression, tableau, logistic, regression",https://www.timesjobs.com/job-detail/software-development-engineer-accenture-coimbatore-chennai-3-to-6-yrs-jobid-t6ph9bDGkvFzpSvf__PLUS__uAgZw==&source=srp
accenture,"react, js, development, python, programming, plsql, knowledge, front, end, principles, version, control, systems, oracle, react.js, git, debugging, technical, skills",https://www.timesjobs.com/job-detail/application-developer-accenture-chennai-3-to-6-yrs-jobid-D94FlxfgOeZzpSvf__PLUS__uAgZw==&source=srp
Incedo Inc,"etl, development, python, programming, data, transformation, sql, proficiency, technical, documentation, program, manager, telecom, data, profiling, data, quality, informatica, data, integration",https://www.timesjobs.com/job-detail/career-opportunities-senior-software-engineer-41567-incedo-inc-mexico-7-to-9-yrs-jobid-sVZpYFp7N95zpSvf__PLUS__uAgZw==&source=srp
Incedo Inc,"etl, development, python, programming, data, transformation, sql, proficiency, technical, documentation, program, manager, telecom, data, profiling, data, quality, informatica, data, integration",https://www.timesjobs.com/job-detail/career-opportunities-senior-software-engineer-41567-incedo-inc-mexico-7-to-9-yrs-jobid-__SLASH__nGcyUEmM6RzpSvf__PLUS__uAgZw==&source=srp
Incedo Inc,"statistical, analysis, machine, learning, data, wrangling, big, data, technologies, python, programming, hive, algorithms, sql, program, manager, telecom, hadoop, technical, skills",https://www.timesjobs.com/job-detail/career-opportunities-data-scientist-42793-incedo-inc-mexico-4-to-6-yrs-jobid-rH9OQrHAjURzpSvf__PLUS__uAgZw==&source=srp
Adobe Systems Ltd,"product, development, project, management, ci, /, cd, tools, cloud, technologies, technical, communication, c, java, devops, linux, mysql, web, api, python",https://www.timesjobs.com/job-detail/computer-scientist-ii-devops-adobe-systems-ltd-noida-greater-noida-5-to-8-yrs-jobid-56OlYlXNOclzpSvf__PLUS__uAgZw==&source=srp
MASTERCARD,"java, programming, python, development, aws, cloud, services, performance, optimization, api, integration, artificial, intelligence, sql, database, security, devops, software, engineering, nosql",https://www.timesjobs.com/job-detail/senior-cloud-developer-mastercard-canada-5-to-9-yrs-jobid-4l5Ms02NdqNzpSvf__PLUS__uAgZw==&source=srp
MASTERCARD,"java, programming, python, development, aws, cloud, services, performance, optimization, api, integration, artificial, intelligence, sql, database, security, devops, software, engineering, nosql",https://www.timesjobs.com/job-detail/senior-cloud-developer-mastercard-canada-5-to-9-yrs-jobid-lXitrFa1j2dzpSvf__PLUS__uAgZw==&source=srp
SEVEN CONSULTANCY,"hive, algorithms, bi, data, warehousing, ensemble, artificial, intelligence, pig, d3.js, apache, hadoop, mongodb, python, machine, learning",https://www.timesjobs.com/job-detail/artificial-intelligence-machine-learning-seven-consultancy-pune-0-to-3-yrs-jobid-K91__SLASH__2UqDHAFzpSvf__PLUS__uAgZw==&source=srp
Paytm,"ci, /, cd, pipeline, setup, aws, cloud, experience, kubernetes, orchestration, shell, /, python, scripting, infrastructure, automation, docker, brewing, devops, linux, os, maven",https://www.timesjobs.com/job-detail/paytm-devops-senior-devops-engineer-paytm-bengaluru-bangalore-3-to-5-yrs-jobid-DoxzpYulfhpzpSvf__PLUS__uAgZw==&source=srp
ORACLE,"infrastructure, engineering, automation, scripting, kubernetes, management, monitoring, techniques, networking, principles, orchestration, devops, python, oracle, udp, docker, security, linux, splunk",https://www.timesjobs.com/job-detail/site-reliability-engineer-3-oracle-bengaluru-bangalore-3-to-5-yrs-jobid-xoO4Ggae0w5zpSvf__PLUS__uAgZw==&source=srp
ORACLE,"devops, practices, kubernetes, management, python, scripting, cloud, infrastructure, monitoring, tools, orchestration, oracle, udp, infrastructure, engineering, docker, security, linux, splunk",https://www.timesjobs.com/job-detail/site-reliability-engineer-3-oracle-bengaluru-bangalore-3-to-5-yrs-jobid-8zGHeF8l__PLUS__lpzpSvf__PLUS__uAgZw==&source=srp
ORACLE,"infrastructure, engineering, automation, scripting, kubernetes, management, monitoring, techniques, networking, principles, orchestration, devops, python, oracle, udp, docker, security, linux, splunk",https://www.timesjobs.com/job-detail/site-reliability-engineer-3-oracle-bengaluru-bangalore-3-to-5-yrs-jobid-j3sK15h3JJJzpSvf__PLUS__uAgZw==&source=srp
ORACLE,"infrastructure, engineering, automation, scripting, kubernetes, management, monitoring, techniques, networking, principles, orchestration, devops, python, oracle, udp, docker, security, linux, splunk",https://www.timesjobs.com/job-detail/site-reliability-engineer-3-oracle-bengaluru-bangalore-3-to-5-yrs-jobid-htSkO2DHOzxzpSvf__PLUS__uAgZw==&source=srp
ORACLE,"devops, practices, kubernetes, management, python, scripting, cloud, infrastructure, monitoring, tools, orchestration, oracle, udp, infrastructure, engineering, docker, security, linux, splunk",https://www.timesjobs.com/job-detail/site-reliability-engineer-3-oracle-bengaluru-bangalore-3-to-5-yrs-jobid-Wj31qgN__PLUS__HUdzpSvf__PLUS__uAgZw==&source=srp
ORACLE,"devops, practices, kubernetes, management, python, scripting, cloud, infrastructure, monitoring, tools, orchestration, oracle, udp, infrastructure, engineering, docker, security, linux, splunk",https://www.timesjobs.com/job-detail/site-reliability-engineer-3-oracle-bengaluru-bangalore-3-to-5-yrs-jobid-HdAMv__SLASH__06AgFzpSvf__PLUS__uAgZw==&source=srp
Goldman Sachs Services Pvt Ltd,"application, configuration, problem, resolution, scripting, languages, incident, management, communication, skills, technology, operations, linux, python, problem, solving, windows, infrastructure",https://www.timesjobs.com/job-detail/market-data-devops-engineer-analyst-associate-shanghai-goldman-sachs-services-pvt-ltd-china-3-to-5-yrs-jobid-2CLwtrspAXNzpSvf__PLUS__uAgZw==&source=srp
accenture,"sap, btp, automation, application, support, methodologies, troubleshooting, application, issues, scripting, languages, knowledge, cloud, platform, familiarity, python, production, environment, technical, skills",https://www.timesjobs.com/job-detail/application-support-engineer-accenture-bengaluru-bangalore-3-to-6-yrs-jobid-EPp6wFbUyrVzpSvf__PLUS__uAgZw==&source=srp
DXC Technologies,"ci, /, cd, implementation, infrastructure, automation, cloud, management, monitoring, systems, scripting, proficiency, orchestration, devops, python, docker, security, database, cloud, services",https://www.timesjobs.com/job-detail/senior-devops-engineer-2-dxc-technologies-bengaluru-bangalore-5-to-8-yrs-jobid-0XTwrkkhfc9zpSvf__PLUS__uAgZw==&source=srp
NTT Data Vertex Software Inc.,"machine, learning, algorithms, python, for, data, science, deep, learning, techniques, generative, ai, experience, large, language, models, production, environment",https://www.timesjobs.com/job-detail/sr-data-science-aiml-genai-lead-engineer-ntt-data-vertex-software-inc-bengaluru-bangalore-3-to-5-yrs-jobid-RcbJ4Cr6XI9zpSvf__PLUS__uAgZw==&source=srp
Bottomline Technologies,"devops, tools, management, infrastructure, automation, programming, languages, (, python, ), database, management, (, sql, ), containerization, technologies, docker, security, git, postgresql, linux, oracle",https://www.timesjobs.com/job-detail/devops-engineer-bottomline-technologies-singapore-mumbai-bengaluru-bangalore-australia-3-to-5-yrs-jobid-KlCNXTAR__PLUS__rpzpSvf__PLUS__uAgZw==&source=srp
Morningstar India Pvt Ltd,"machine, learning, techniques, natural, language, processing, python, programming, data, analysis, skills, api, development, data, extraction, rest, django",https://www.timesjobs.com/job-detail/machine-learning-engineer-morningstar-india-pvt-ltd-delhi-navi-mumbai-2-to-4-yrs-jobid-tH9wF5C11CdzpSvf__PLUS__uAgZw==&source=srp
Microsoft India Pvt Ltd,"software, development, programming, languages, testing, and, debugging, cloud, applications, code, maintenance, c, java, software, engineer, c#, python, javascript, infrastructure",https://www.timesjobs.com/job-detail/software-engineer-microsoft-india-pvt-ltd-spain-1-to-4-yrs-jobid-o5ygBtYOx5tzpSvf__PLUS__uAgZw==&source=srp
Microsoft India Pvt Ltd,"programming, languages, security, solutions, data, classification, agile, environment, collaboration, skills, c#, c, python, clp, mobile, javascript, software, engineer, technical, skills",https://www.timesjobs.com/job-detail/software-engineer-ii-microsoft-india-pvt-ltd-hyderabad-secunderabad-2-to-4-yrs-jobid-slRsRP2__PLUS__8KdzpSvf__PLUS__uAgZw==&source=srp
Binance,"llm, framework, development, risk, management, strategies, machine, learning, models, natural, language, processing, python, programming, scala, artificial, intelligence, security, java",https://www.timesjobs.com/job-detail/senior-data-scientist-llm-risk-binance-thailand-null-japan-5-to-8-yrs-jobid-cn2pkPsHiINzpSvf__PLUS__uAgZw==&source=srp
NTT Data Vertex Software Inc.,"data, analysis, ai, model, development, python, programming, natural, language, processing, machine, learning, algorithms, information, technology, artificial, intelligence, infrastructure, technology, consulting",https://www.timesjobs.com/job-detail/mid-data-science-aiml-genai-lead-engineer-ntt-data-vertex-software-inc-bengaluru-bangalore-2-to-4-yrs-jobid-sCCthYg9KMFzpSvf__PLUS__uAgZw==&source=srp
NTT Data Vertex Software Inc.,"python, development, ai, model, development, natural, language, processing, machine, learning, algorithms, data, analysis, information, technology, artificial, intelligence, infrastructure, technology, consulting",https://www.timesjobs.com/job-detail/mid-data-science-aiml-genai-lead-engineer-ntt-data-vertex-software-inc-bengaluru-bangalore-2-to-5-yrs-jobid-VAWLRKm3IZpzpSvf__PLUS__uAgZw==&source=srp
NTT Data Vertex Software Inc.,"data, analysis, ai, model, development, python, programming, natural, language, processing, machine, learning, algorithms, information, technology, artificial, intelligence, infrastructure, technology, consulting",https://www.timesjobs.com/job-detail/mid-data-science-aiml-genai-lead-engineer-ntt-data-vertex-software-inc-bengaluru-bangalore-2-to-5-yrs-jobid-2pZoGnv92pJzpSvf__PLUS__uAgZw==&source=srp
NTT Data Vertex Software Inc.,"data, analysis, python, development, generative, ai, models, natural, language, processing, machine, learning, algorithms, information, technology, artificial, intelligence, infrastructure, technology, consulting",https://www.timesjobs.com/job-detail/mid-data-science-aiml-genai-lead-engineer-ntt-data-vertex-software-inc-bengaluru-bangalore-2-to-5-yrs-jobid-l0MIveTQmNdzpSvf__PLUS__uAgZw==&source=srp
NTT Data Vertex Software Inc.,"python, development, machine, learning, data, analysis, natural, language, processing, ai, model, training, algorithms, information, technology, artificial, intelligence, infrastructure, technology, consulting",https://www.timesjobs.com/job-detail/mid-data-science-aiml-genai-lead-engineer-ntt-data-vertex-software-inc-bengaluru-bangalore-2-to-5-yrs-jobid-BJDAIHDdM__SLASH__FzpSvf__PLUS__uAgZw==&source=srp
NTT Data Vertex Software Inc.,"data, analysis, ai, models, development, natural, language, processing, machine, learning, algorithms, python, programming, information, technology, artificial, intelligence, infrastructure, technology, consulting",https://www.timesjobs.com/job-detail/mid-data-science-aiml-genai-lead-engineer-ntt-data-vertex-software-inc-bengaluru-bangalore-2-to-5-yrs-jobid-s9XlnskYDRFzpSvf__PLUS__uAgZw==&source=srp
Morningstar India Pvt Ltd,"machine, learning, expertise, natural, language, processing, python, programming, sql, data, extraction, statistical, modeling, algorithms, oop, problem, solving, production, environment",https://www.timesjobs.com/job-detail/senior-machine-learning-engineer-morningstar-india-pvt-ltd-navi-mumbai-5-to-8-yrs-jobid-hkM__PLUS__B5HKkApzpSvf__PLUS__uAgZw==&source=srp
INDEGENE,"data, science, project, management, client, management, machine, learning, analytical, techniques, algorithms, sql, git, crm, python, cloud, services, natural, language, processing",https://www.timesjobs.com/job-detail/associate-manager-data-analytics-indegene-bengaluru-bangalore-8-to-11-yrs-jobid-TpTNp9afer5zpSvf__PLUS__uAgZw==&source=srp
unitedhealth group information services,"ai, /, ml, applications, data, analytics, python, programming, deep, learning, techniques, natural, language, processing, hive, algorithms, artificial, intelligence, machine, learning, infrastructure",https://www.timesjobs.com/job-detail/data-scientist-1-unitedhealth-group-information-services-noida-greater-noida-2-to-3-yrs-jobid-Y2N0R1PrU__SLASH__VzpSvf__PLUS__uAgZw==&source=srp
unitedhealth group information services,"ai, /, ml, applications, data, analytics, python, programming, deep, learning, techniques, natural, language, processing, hive, algorithms, artificial, intelligence, machine, learning, infrastructure",https://www.timesjobs.com/job-detail/data-scientist-1-unitedhealth-group-information-services-noida-greater-noida-2-to-3-yrs-jobid-KL0e2kFI7slzpSvf__PLUS__uAgZw==&source=srp
unitedhealth group information services,"ai, /, ml, applications, data, analytics, python, programming, deep, learning, techniques, natural, language, processing, hive, algorithms, artificial, intelligence, machine, learning, infrastructure",https://www.timesjobs.com/job-detail/data-scientist-1-unitedhealth-group-information-services-noida-greater-noida-2-to-3-yrs-jobid-kZzv3LsZNEtzpSvf__PLUS__uAgZw==&source=srp
Uniphore Software Systems,"machine, learning, (, ml, ), deep, learning, techniques, natural, language, processing, (, nlp, ), python, programming, ai, frameworks, (, pytorch, /, tensorflow, ), algorithms, artificial, intelligence",https://www.timesjobs.com/job-detail/senior-ai-scientist-uniphore-software-systems-chennai-bengaluru-bangalore-3-to-4-yrs-jobid-iFEnVm__SLASH__KsKRzpSvf__PLUS__uAgZw==&source=srp
accenture,"red, hat, os, administration, cloud, technologies, infrastructure, management, itil, processes, scripting, languages, python, application, support, perl, technical, skills",https://www.timesjobs.com/job-detail/application-support-engineer-accenture-bengaluru-bangalore-5-to-8-yrs-jobid-aFlnaAq__SLASH__m4tzpSvf__PLUS__uAgZw==&source=srp
ORACLE,"cloud, services, kubernetes, oracle, database, python, programming, ci, /, cd, pipelines, storage, sql, security, iam, devops, access, management, infrastructure, software, developer",https://www.timesjobs.com/job-detail/software-developer-5-oracle-bengaluru-bangalore-10-to-13-yrs-jobid-__SLASH__fIHZs6__PLUS__BuNzpSvf__PLUS__uAgZw==&source=srp
Acceldata,"security, compliance, big, data, systems, vulnerability, assessment, cloud, security, programming, experience, hive, docker, apache, java, hadoop, hbase, python, nist, infrastructure",https://www.timesjobs.com/job-detail/lead-security-compliance-engineer-acceldata-bengaluru-bangalore-8-to-10-yrs-jobid-8Szc68KA__SLASH__5VzpSvf__PLUS__uAgZw==&source=srp
Reliance Jio Infocomm Limited,"it, infrastructure, management, scripting, languages, (, python, bash, ), networking, protocols, comprehension, cloud, platforms, expertise, (, aws, azure, ), version, control, systems, (, git, ), ece",https://www.timesjobs.com/job-detail/engineer-tech-operations-81929682-reliance-jio-infocomm-limited-guwahati-3-to-8-yrs-jobid-a3NhVxnKQC1zpSvf__PLUS__uAgZw==&source=srp
northern trust corp ltd - london,"data, architecture, design, financial, data, management, cloud, technologies, expertise, data, engineering, projects, sql, and, python, proficiency, oop, it, projects",https://www.timesjobs.com/job-detail/lead-data-architect-asset-servicing-data-engineering-and-technology-northern-trust-corp-ltd-london-chicago-10-to-13-yrs-jobid-oBlzSw68dJlzpSvf__PLUS__uAgZw==&source=srp
Mindtickle,"technical, issue, investigation, configuration, troubleshooting, customer, relationship, management, sql, database, proficiency, web, app, debugging, sso, salesforce, couchbase, python, splunk",https://www.timesjobs.com/job-detail/customer-success-engineer-ii-mindtickle-pune-2-to-3-yrs-jobid-sFC__SLASH__GLe__SLASH__4SdzpSvf__PLUS__uAgZw==&source=srp
Morningstar India Pvt Ltd,"technical, operations, support, windows, server, knowledge, troubleshooting, capabilities, scripting, (, powershell, /, python, ), monitoring, tools, experience, network, hardware, infrastructure",https://www.timesjobs.com/job-detail/operations-engineer-morningstar-india-pvt-ltd-mumbai-2-to-5-yrs-jobid-JLC__PLUS__l6FCRJJzpSvf__PLUS__uAgZw==&source=srp
Merck Ltd,"aws, cloud, engineering, infrastructure, as, code, cloud, security, expertise, python, scripting, automation, strategies, security, compliance, orchestration, docker, iam, devops",https://www.timesjobs.com/job-detail/senior-aws-cloud-engineer-merck-ltd-bengaluru-bangalore-5-to-8-yrs-jobid-eqZzTkq2q7JzpSvf__PLUS__uAgZw==&source=srp
Nvidia Graphics Pvt Ltd,"networking, knowledge, automation, testing, python, scripting, bug, reporting, linux, expertise, switching, bgp, ccnp, routing, ccie, ospf, multicast",https://www.timesjobs.com/job-detail/senior-software-qa-automation-engineer-nvidia-graphics-pvt-ltd-bengaluru-bangalore-5-to-8-yrs-jobid-Xb3YbWdGO3tzpSvf__PLUS__uAgZw==&source=srp
Reliance Jio Infocomm Limited,"it, infrastructure, management, scripting, languages, proficiency, networking, protocols, understanding, cloud, platforms, familiarity, version, control, knowledge, python, git, ece",https://www.timesjobs.com/job-detail/engineer-tech-operations-81951344-reliance-jio-infocomm-limited-pune-3-to-8-yrs-jobid-Csz4tnZ3E__SLASH__FzpSvf__PLUS__uAgZw==&source=srp
Reliance Jio Infocomm Limited,"it, infrastructure, management, scripting, languages, expertise, networking, protocols, understanding, cloud, platform, familiarity, version, control, knowledge, python, git, ece",https://www.timesjobs.com/job-detail/engineer-tech-operations-81951165-reliance-jio-infocomm-limited-pune-3-to-8-yrs-jobid-EBBCt7f2imhzpSvf__PLUS__uAgZw==&source=srp
accenture,"aws, architecture, terraform, expertise, cloud, computing, concepts, containerization, technologies, scripting, languages, information, technology, docker, security, devops, technical, skills, python, infrastructure",https://www.timesjobs.com/job-detail/application-designer-accenture-bengaluru-bangalore-7-to-10-yrs-jobid-2SL2JZ7WUDxzpSvf__PLUS__uAgZw==&source=srp
Morningstar India Pvt Ltd,"machine, learning, natural, language, processing, python, programming, data, analysis, cloud, services, artificial, intelligence, devops, api, algorithms, storage, sql, git",https://www.timesjobs.com/job-detail/data-scientist-morningstar-india-pvt-ltd-chicago-2-to-5-yrs-jobid-9YyA8PHhbktzpSvf__PLUS__uAgZw==&source=srp
PETROLEUM DEVELOPMENT OMAN,"continuous, integration, cloud, infrastructure, scripting, skills, process, improvement, automation, solutions, security, git, devops, software, engineer, perl, rest, python, maven, ant",https://www.timesjobs.com/job-detail/senior-development-operations-engineer-four-years-contract-petroleum-development-oman-muscat-1-to-9-yrs-jobid-jmB4GBHAJhhzpSvf__PLUS__uAgZw==&source=srp
Ansys Software Pvt Ltd,"automation, techniques, incident, response, continuous, delivery, scripting, proficiency, aws, cloud, expertise, python, compilers, ruby, git, consultant, devops, infrastructure, linux, perl",https://www.timesjobs.com/job-detail/devops-engineer-ii-job-details-ansys-ansys-software-pvt-ltd-bengaluru-bangalore-pune-1-to-3-yrs-jobid-Ef7iFav1CH5zpSvf__PLUS__uAgZw==&source=srp
Ansys Software Pvt Ltd,"automation, techniques, incident, response, continuous, delivery, scripting, proficiency, aws, cloud, expertise, python, compilers, ruby, git, consultant, devops, infrastructure, linux, perl",https://www.timesjobs.com/job-detail/devops-engineer-ii-job-details-ansys-ansys-software-pvt-ltd-bengaluru-bangalore-pune-1-to-3-yrs-jobid-1L1AfxumHh5zpSvf__PLUS__uAgZw==&source=srp
dozee,"data, analysis, attention, to, detail, data, tagging, communication, skills, python, scripting, nursing, patient, monitoring, healthcare, patient, safety, patient, care",https://www.timesjobs.com/job-detail/data-annotator-dozee-lucknow-bengaluru-bangalore-houston-1-to-3-yrs-jobid-dejcEdApCGpzpSvf__PLUS__uAgZw==&source=srp
Cargill India Pvt. Ltd.,"software, testing, python, programming, web, frameworks, database, integration, continuous, integration, html5, git, testing, tools, linux, software, engineer, javascript",https://www.timesjobs.com/job-detail/software-engineer-cargill-india-pvt-ltd-bengaluru-bangalore-3-to-5-yrs-jobid-wfc__PLUS__ZADFG09zpSvf__PLUS__uAgZw==&source=srp
autodesk india pvt ltd,"cloud, infrastructure, machine, learning, operations, infrastructure, as, code, container, technologies, ci, /, cd, processes, security, devops, linux, python, groovy, consultant, production, environment",https://www.timesjobs.com/job-detail/senior-devops-engineer-autodesk-india-pvt-ltd-canada-5-to-8-yrs-jobid-Ejb479MoZsFzpSvf__PLUS__uAgZw==&source=srp
accenture,"python, programming, application, development, software, principles, web, frameworks, database, knowledge, django, git, postgresql, web, development, mysql, technical, skills",https://www.timesjobs.com/job-detail/application-developer-accenture-coimbatore-3-to-6-yrs-jobid-8dA__SLASH__ktZMUX9zpSvf__PLUS__uAgZw==&source=srp
NTT Data Vertex Software Inc.,"machine, learning, algorithms, python, programming, deep, learning, techniques, generative, ai, experience, langchain, exposure, artificial, intelligence, production, environment, infrastructure, technology, consulting",https://www.timesjobs.com/job-detail/mid-data-science-aiml-genai-lead-engineer-ntt-data-vertex-software-inc-bengaluru-bangalore-5-to-7-yrs-jobid-ncB7kmtyOBhzpSvf__PLUS__uAgZw==&source=srp
NTT Data Vertex Software Inc.,"machine, learning, algorithms, python, programming, generative, ai, expertise, deep, learning, techniques, langchain, exposure, artificial, intelligence, production, environment, infrastructure, technology, consulting",https://www.timesjobs.com/job-detail/sr-data-science-aiml-genai-lead-engineer-ntt-data-vertex-software-inc-bengaluru-bangalore-5-to-7-yrs-jobid-q2xb50tOSqhzpSvf__PLUS__uAgZw==&source=srp
NTT Data Vertex Software Inc.,"machine, learning, algorithms, python, programming, deep, learning, techniques, generative, ai, experience, langchain, exposure, artificial, intelligence, production, environment, infrastructure, technology, consulting",https://www.timesjobs.com/job-detail/sr-data-science-aiml-genai-lead-engineer-ntt-data-vertex-software-inc-bengaluru-bangalore-5-to-8-yrs-jobid-1mZmR3ksenBzpSvf__PLUS__uAgZw==&source=srp
NTT Data Vertex Software Inc.,"machine, learning, algorithms, python, programming, generative, ai, deep, learning, techniques, data, science, projects, artificial, intelligence, production, environment, infrastructure, technology, consulting",https://www.timesjobs.com/job-detail/mid-data-science-aiml-genai-lead-engineer-ntt-data-vertex-software-inc-bengaluru-bangalore-5-to-7-yrs-jobid-pxeIRnKf__PLUS__J9zpSvf__PLUS__uAgZw==&source=srp
NTT Data Vertex Software Inc.,"machine, learning, algorithms, python, programming, deep, learning, techniques, generative, ai, experience, langchain, exposure, artificial, intelligence, production, environment, infrastructure, technology, consulting",https://www.timesjobs.com/job-detail/mid-data-science-aiml-genai-lead-engineer-ntt-data-vertex-software-inc-bengaluru-bangalore-3-to-5-yrs-jobid-PFq0keVeAv1zpSvf__PLUS__uAgZw==&source=srp
NTT Data Vertex Software Inc.,"machine, learning, algorithms, python, programming, deep, learning, techniques, generative, ai, experience, langchain, exposure, artificial, intelligence, production, environment, infrastructure, technology, consulting",https://www.timesjobs.com/job-detail/sr-data-science-aiml-genai-lead-engineer-ntt-data-vertex-software-inc-bengaluru-bangalore-5-to-10-yrs-jobid-7qK0SRcbsRdzpSvf__PLUS__uAgZw==&source=srp
NTT Data Vertex Software Inc.,"machine, learning, algorithms, python, programming, deep, learning, techniques, generative, ai, experience, langchain, exposure, artificial, intelligence, production, environment, infrastructure, technology, consulting",https://www.timesjobs.com/job-detail/sr-data-science-aiml-genai-lead-engineer-ntt-data-vertex-software-inc-bengaluru-bangalore-5-to-7-yrs-jobid-2__SLASH__6pzY9H16NzpSvf__PLUS__uAgZw==&source=srp
NTT Data Vertex Software Inc.,"machine, learning, algorithms, python, programming, deep, learning, techniques, generative, ai, experience, langchain, exposure, artificial, intelligence, production, environment, infrastructure, technology, consulting",https://www.timesjobs.com/job-detail/sr-data-science-aiml-genai-lead-engineer-ntt-data-vertex-software-inc-bengaluru-bangalore-5-to-7-yrs-jobid-8dStXyxMD9FzpSvf__PLUS__uAgZw==&source=srp
NTT Data Vertex Software Inc.,"machine, learning, algorithms, python, programming, deep, learning, techniques, generative, ai, experience, langchain, exposure, artificial, intelligence, production, environment, infrastructure, technology, consulting",https://www.timesjobs.com/job-detail/sr-data-science-aiml-genai-lead-engineer-ntt-data-vertex-software-inc-bengaluru-bangalore-5-to-7-yrs-jobid-xn1EKzlBF51zpSvf__PLUS__uAgZw==&source=srp
NTT Data Vertex Software Inc.,"machine, learning, algorithms, python, programming, deep, learning, techniques, generative, ai, experience, langchain, exposure, artificial, intelligence, production, environment, infrastructure, technology, consulting",https://www.timesjobs.com/job-detail/mid-data-science-aiml-genai-lead-engineer-ntt-data-vertex-software-inc-bengaluru-bangalore-3-to-5-yrs-jobid-dNyl26uR2iBzpSvf__PLUS__uAgZw==&source=srp
NTT Data Vertex Software Inc.,"machine, learning, algorithms, python, programming, deep, learning, techniques, generative, ai, experience, langchain, exposure, artificial, intelligence, production, environment, infrastructure, technology, consulting",https://www.timesjobs.com/job-detail/digital-engineering-lead-engineer-ntt-data-vertex-software-inc-bengaluru-bangalore-5-to-7-yrs-jobid-b5hvU1gc0CdzpSvf__PLUS__uAgZw==&source=srp
NTT Data Vertex Software Inc.,"machine, learning, algorithms, python, programming, deep, learning, techniques, generative, ai, knowledge, langchain, exposure, artificial, intelligence, production, environment, infrastructure, technology, consulting",https://www.timesjobs.com/job-detail/mid-data-science-aiml-genai-lead-engineer-ntt-data-vertex-software-inc-bengaluru-bangalore-5-to-7-yrs-jobid-z9R8h9e8aq1zpSvf__PLUS__uAgZw==&source=srp
