comapany,skills,more_info
Advaiya Solutions Pvt Ltd,"rest, python, ajax, javascript, django, java, xml, json, api, angularjs",https://www.timesjobs.com/job-detail/python-developer-advaiya-solutions-pvt-ltd-4-to-16-yrs-jobid-__PLUS__qX9hlnjK1FzpSvf__PLUS__uAgZw==&source=srp
PradeepIT,"python, scripting, test, automation, defect, management, performance, testing, ci, /, cd, integration, continuous, integration, test, management, test, cases, test, scripts, testing, tools, selenium, testing, engineer, mobile, applications, test, planning, jira, written, communication, web, technologies, agile",https://www.timesjobs.com/job-detail/python-testing-pradeepit-bengaluru-bangalore-4-to-10-yrs-jobid-ymU6MKQ1l7tzpSvf__PLUS__uAgZw==&source=srp
SEVEN CONSULTANCY,"rest, python, web, developer, storage, software, developer",https://www.timesjobs.com/job-detail/python-developer-seven-consultancy-hyderabad-secunderabad-0-to-3-yrs-jobid-ATqt92bFMIxzpSvf__PLUS__uAgZw==&source=srp
DREAMAJAX TECHNOLOGIES,"python, django, api, sql, nosql",https://www.timesjobs.com/job-detail/python-developer-dreamajax-technologies-bengaluru-bangalore-4-to-7-yrs-jobid-QP62Nb779jFzpSvf__PLUS__uAgZw==&source=srp
Datagrid Solutions,"python, database, django, mysql, api",https://www.timesjobs.com/job-detail/python-developer-datagrid-solutions-mumbai-2-to-3-yrs-jobid-WOb3ZI4H4nVzpSvf__PLUS__uAgZw==&source=srp
magnarus technologies private limited,"image, processing, python, c, c, programming, operating, system, team, player, database, mysql, unix",https://www.timesjobs.com/job-detail/python-developer-magnarus-technologies-private-limited-hyderabad-secunderabad-1-to-3-yrs-jobid-T3pm9JegL4NzpSvf__PLUS__uAgZw==&source=srp
Analytics Vidhya,"python, css, html5, javascript, sql, django, linux, mysql, html, unix",https://www.timesjobs.com/job-detail/python-developer-analytics-vidhya-hyderabad-secunderabad-chennai-2-to-4-yrs-jobid-0bWt9YSDrX9zpSvf__PLUS__uAgZw==&source=srp
klizos solutions pvt ltd,"c, css, soa, compilers, java, mysql, data, structures, html, c#, python, github, mvc, architecture, javascript, nosql, visual, studio, unix, fundamentals, algorithms, software, design, git, debugging, mvc, technical, skills, mongodb, crm, c, mobile, machine, learning, windows, identity, management, django, opencv",https://www.timesjobs.com/job-detail/python-developer-klizos-solutions-pvt-ltd-kolkata-3-to-6-yrs-jobid-wxcFGhPTlRtzpSvf__PLUS__uAgZw==&source=srp
SEVEN CONSULTANCY,"rest, python, oracle, sybase, bi, storage, javascript, nosql, sql, python, scripting, java, xml, linux, mysql, unix",https://www.timesjobs.com/job-detail/python-developer-seven-consultancy-chennai-1-to-4-yrs-jobid-3SbYNIu88OBzpSvf__PLUS__uAgZw==&source=srp
Movate technologies limited,"data, conversion, nosql, databases, data, lake, construction, cost, optimization, python, programming, delta",https://www.timesjobs.com/job-detail/python-developer-movate-technologies-limited-chennai-5-to-8-yrs-jobid-UWJWdj7r__PLUS__TRzpSvf__PLUS__uAgZw==&source=srp
ORACLE,"python, programming, web, frameworks, (, django, /, flask, ), relational, databases, version, control, (, git, ), front, end, technologies, css, software, engineering, html, oracle, javascript, security, debugging, technical, skills, cloud, computing, problem, solving",https://www.timesjobs.com/job-detail/python-developer-oracle-hyderabad-secunderabad-3-to-5-yrs-jobid-51VTp488QkNzpSvf__PLUS__uAgZw==&source=srp
Infocom Software,"rest, python, css, html5, machine, learning, artificial, intelligence, javascript, jquery, security, django, debugging",https://www.timesjobs.com/job-detail/python-developer-infocom-software-thiruvananthapuram-0-to-3-yrs-jobid-3Og4__PLUS__YxofzlzpSvf__PLUS__uAgZw==&source=srp
Infocom Software,"rest, python, css, html5, machine, learning, artificial, intelligence, javascript, jquery, security, django, debugging",https://www.timesjobs.com/job-detail/python-developer-infocom-software-thiruvananthapuram-0-to-3-yrs-jobid-__PLUS__4X6KXEAfHFzpSvf__PLUS__uAgZw==&source=srp
InnOvator Web Solutions Pvt.Ltd.,"rest, python, django, web, developer, mysql, api",https://www.timesjobs.com/job-detail/python-developer-innovator-web-solutions-pvt-ltd-mumbai-5-to-8-yrs-jobid-xW9AZzv9Ek5zpSvf__PLUS__uAgZw==&source=srp
CONNECTING 2 WORK,"python, storage, django, testing, tools, debugging",https://www.timesjobs.com/job-detail/python-developer-connecting-2-work-thiruvananthapuram-5-to-10-yrs-jobid-rWXOEDNUju5zpSvf__PLUS__uAgZw==&source=srp
CONNECTING 2 WORK,"database, python, css, rest, api, html, javascript",https://www.timesjobs.com/job-detail/python-developer-connecting-2-work-cochin-kochi-ernakulam-2-to-3-yrs-jobid-p__SLASH__ne4OsY9tNzpSvf__PLUS__uAgZw==&source=srp
SEVEN CONSULTANCY,"Python, programming, programming, language, front-end, developer",https://www.timesjobs.com/job-detail/python-developer-seven-consultancy-surat-9-to-12-yrs-jobid-Kdex__PLUS__SlZxqJzpSvf__PLUS__uAgZw==&source=srp
young minds technology solutions pvt ltd,"python, html5, storage, javascript, security, django",https://www.timesjobs.com/job-detail/python-developer-young-minds-technology-solutions-pvt-ltd-tirupati-0-to-3-yrs-jobid-rhQUq1Z7fatzpSvf__PLUS__uAgZw==&source=srp
3RI Technologies Pvt Ltd,"python, Pandas, PyQt5, Matplotlib, Openpyxl",https://www.timesjobs.com/job-detail/python-programmer-3ri-technologies-pvt-ltd-pune-0-to-1-yrs-jobid-RisAg8NKGbBzpSvf__PLUS__uAgZw==&source=srp
3RI Technologies Pvt Ltd,"python, database, security, django, git, mobile",https://www.timesjobs.com/job-detail/python-developer-3ri-technologies-pvt-ltd-pune-0-to-1-yrs-jobid-W8__SLASH__axd9w6ixzpSvf__PLUS__uAgZw==&source=srp
Wing Global IT Services,"spring, boot, python, java, django, jpa, hibernate",https://www.timesjobs.com/job-detail/python-developer-wing-global-it-services-panchkula-2-to-5-yrs-jobid-ZNzjSAvv9uJzpSvf__PLUS__uAgZw==&source=srp
DealsCorner,"python, css, oops, linux, debugging, html, javascript",https://www.timesjobs.com/job-detail/python-developer-dealscorner-ahmedabad-1-to-4-yrs-jobid-hTihN4iwnitzpSvf__PLUS__uAgZw==&source=srp
AxisTechnolabs,"python, django, it, skills, html5, api, jquery",https://www.timesjobs.com/job-detail/python-odoo-axistechnolabs-ahmedabad-0-to-1-yrs-jobid-sQ9JqHz7dglzpSvf__PLUS__uAgZw==&source=srp
Headhuntersinc consultancy Private Limited,"hive, c, sql, java, linux, hadoop, big, data, c#, global, delivery, python, edi, hl7, .net, unix",https://www.timesjobs.com/job-detail/python-architect-headhuntersinc-consultancy-private-limited-chennai-10-to-13-yrs-jobid-pJTd8BeqARBzpSvf__PLUS__uAgZw==&source=srp
CONNECTING 2 WORK,"security, compliance, python, html5, mobile, javascript, database, django, debugging",https://www.timesjobs.com/job-detail/python-developer-connecting-2-work-thiruvananthapuram-0-to-3-yrs-jobid-8rfk7VC5R71zpSvf__PLUS__uAgZw==&source=srp
CONNECTING 2 WORK,"security, compliance, python, html5, mobile, javascript, database, django, debugging",https://www.timesjobs.com/job-detail/python-developer-connecting-2-work-cochin-kochi-ernakulam-0-to-3-yrs-jobid-H6kmUA8Jl55zpSvf__PLUS__uAgZw==&source=srp
